编号,名称,定价,数量
1,霓虹幻彩,208,10
2,绿香球,208,2
3,芳纪,358,5
4,黄翠羽,208,7
5,银红巧对,208,5
7,景玉,238,2
8,墨润绝伦,208,32
9,月宫珠光,208,4
10,冠群芳,208,4
11,百园红霞,208,23
12,富贵满堂,208,19
13,雪映桃花,208,22
14,玉楼春,278,7
15,黑夫人,278,8
17,气壮山河,208,2
18,皇嘉门,358,2
19,俊艳红,208,1
20,黑豹,258,3
21,海黄,208,6
22,岛锦,238,27
23,旭港,238,9
24,新日月,238,0
25,黄冠,238,5
26,帝冠,358,2
27,花王,238,5
28,绿幕隐玉,238,11
29,如花似玉,208,8
30,赵粉,258,4
31,彩绘,208,8
32,首案红,258,0
33,镰田锦,358,3
34,白雪塔,208,3
35,迎日红,208,1
36,八千代椿,278,1
37,墨池争辉,208,9
38,粉中冠,238,6
39,腾染衣,358,0
40,雨后风光,208,8
41,珊瑚台,238,28
42,黑海撒金,208,0
43,豆绿,278,2
44,冠世墨玉,278,0
46,乌金耀辉,208,2
47,贵妃插翠,238,6
48,香玉,208,2
49,初乌,358,7
50,金阁,238,4
51,飞燕凌空,238,0
52,紫罗兰,208,7
53,金妞,358,0
54,珠光墨润,208,6
55,紫绒剪彩,208,0
56,绿丝冠顶,278,13
57,花二乔,278,4
58,腰带红,208,9
60,大胡红,208,4
61,紫光阁,208,0
62,金晃,358,1
64,西瓜瓤,258,7
65,红花露霜,278,2
66,春红娇艳,208,0
123,岛大臣,238,0
67,鲁粉,208,5
68,紫蓝魁,238,2
69,胜葛巾,208,9
71,春兴殿,358,2
72,红麒麟,208,3
73,紫霞仙子,238,4
75,洛林之血,358,2
76,雪山青松,528,0
78,白妙,278,3
80,金致,358,2
81,天鹅娇子,278,0
83,群芳殿,278,4
84,霸云,278,3
85,俊艳红,208,1
86,大粽紫,258,6
87,叠云,208,9
88,红狮子,228,5
89,鲁菏红,208,0
90,卷叶红,208,2
91,擎天粉,278,4
92,锦袍红,208,1
93,层中笑,208,2
洛阳红,洛阳红,168,0
蓝月亮,蓝月亮,208,4
肉芙蓉,肉芙蓉,208,3
太平红,太平红,208,3
玉面桃花,玉面桃花,208,1
花竞,花竞,278,3
花游,花游,208,1
菱花湛露,菱花湛露,208,2
乌龙捧盛,乌龙捧盛,208,1
s0,蓝富士,208,3
s1,芭茨拉,208,2
s2,落日珊瑚,278,6
s3,雪利寺庙,278,3
s4,亨利,278,2
s5,大富贵,168,10
s6,红色魅力,278,1
s7,火炼金丹,208,11
s8,御前表演,278,5
s9,老忠诚,398,3
s10,天使的脸颊,278,3
s12,餐盘,338,0
s13,金丝雀,338,1
s14,戴安娜公园,338,3
s15,亮点（突出）,278,3
s17,阳光女孩,338,0
s18,晴雯,208,0
s19,"小鹿	（独家记忆）/唯一",278,3
s20,"巴克爱美人	",278,0
s21,伽马,278,3
s22,希拉里,338,3
s24,红色雍容,338,3
s25,奶油碗,338,3
s26,佩尔,278,3
s28,羞涩女王,398,1
